"SOL","Sample","Na2O","MgO","Al2O3","SiO2","P2O5","SO3","Cl","K2O","CaO","TiO2","Cr2O3","MnO","FeO","Ni","Br","Type"
"sol14","Gusev_Soil","2.80","8.34","9.89","46.30","0.87","6.61","0.78","0.48","6.36","0.86","0.31","0.33","16.0","556","31","SU"
"sol18","Adirondack_asis","2.30","9.09","10.93","45.60","0.72","3.47","0.43","0.14","7.52","0.71","0.69","0.40","18.0","241","6","RU"
"sol33","Adirondack_brush","2.80","9.51","11.35","45.70","0.57","2.16","0.36","0.12","7.84","0.49","0.63","0.39","18.0","149","16","RB"
"sol34","Adirondack_RAT","2.40","10.83","10.87","45.70","0.52","1.23","0.20","0.07","7.75","0.48","0.61","0.41","18.8","165","14","RR"
"sol41","Crest_morning","2.80","8.67","10.02","46.00","0.80","5.26","0.69","0.43","6.98","0.72","0.49","0.36","16.6","341","112","SU"
"sol42","Mimi","2.90","8.39","10.04","45.00","0.85","5.50","0.74","0.49","7.07","0.68","0.55","0.40","17.3","249","53","RU"
"sol43","Track","2.90","8.45","10.30","46.80","0.81","5.00","0.60","0.45","6.52","0.91","0.41","0.36","16.5","364","56","SD"
"sol44","Rampflats","2.50","8.69","10.23","46.30","0.87","6.06","0.71","0.43","6.58","0.77","0.26","0.29","16.2","287","38","SF"
"sol45","Angelflats","3.10","8.59","9.96","45.50","0.78","6.19","0.78","0.48","6.69","0.68","0.38","0.30","16.5","551","69","SU"
"sol47","Grandeflats","3.10","8.41","10.05","46.00","0.86","6.33","0.73","0.44","6.32","0.89","0.33","0.34","16.1","318","19","SU"
"sol49","Road Cut_Floor3_","2.40","8.90","9.83","46.20","0.68","6.11","0.69","0.38","6.14","1.00","0.43","0.34","16.8","443","61","ST"
"sol50","Road Cut_WallMIonl","2.70","8.77","9.96","46.10","0.73","5.69","0.77","0.37","6.24","1.02","0.40","0.35","16.8","592","65","ST"
"sol52","Sugar_T1","3.20","8.47","9.67","45.60","0.83","6.10","0.80","0.41","6.60","0.81","0.37","0.34","16.7","429","63","SU"
"sol55","Humphrey_Ashley_asis","3.00","8.76","10.66","45.90","0.65","3.53","0.58","0.19","7.53","0.48","0.57","0.40","17.7","151","49","RU"
"sol57","Humphrey_Heyworth_asis","2.90","8.69","11.13","45.70","0.63","3.24","0.54","0.19","7.54","0.53","0.61","0.39","17.9","105","39","RU"
"sol58","Humphrey_brush","3.00","8.82","11.20","45.90","0.62","2.63","0.49","0.18","7.76","0.54","0.60","0.39","17.9","158","37","RB"
"sol59","Humphrey_RAT1","2.80","9.49","10.78","46.30","0.57","1.09","0.32","0.13","8.19","0.58","0.68","0.41","18.6","202","49","RR"
"sol60","Humphrey_RAT2","2.50","10.41","10.68","45.90","0.56","1.28","0.26","0.10","7.84","0.55","0.60","0.41","18.8","164","52","RR"
"sol63","Plank_Asis","3.00","8.27","9.72","44.00","0.75","5.85","0.72","0.33","6.81","0.57","0.57","0.42","18.9","27","42","RU"
"sol65","SugarLoafFlats_soi","3.20","8.57","9.86","45.90","0.81","6.76","0.84","0.47","6.04","0.83","0.31","0.31","15.9","620","0","SU"
"sol71","Gobi1_soil","2.90","8.25","9.56","45.00","0.91","7.61","0.88","0.49","6.17","0.89","0.31","0.31","16.5","641","30","SU"
"sol74","Serpent_Scuffed","2.90","8.86","10.12","46.70","0.66","4.39","0.54","0.40","6.57","0.94","0.46","0.36","17.0","475","53","SD"
"sol81","Mazatzal_NewYork_Brush","2.50","7.70","8.50","44.50","1.19","7.62","1.28","0.54","6.63","0.84","0.26","0.32","17.9","553","100","RB"
"sol81b","Mazatzal_Texas_asisRAT1","3.10","8.23","9.15","43.70","0.97","7.62","0.99","0.45","6.23","0.81","0.35","0.33","18.0","471","37","RU"
"sol82","Mazatzal_NewYork_RAT1Oregon_Asis","2.70","9.02","9.92","45.70","0.82","3.33","0.54","0.29","7.57","0.69","0.45","0.40","18.4","342","144","RU"
"sol83","Mazatzal_Oregon_Asis","2.80","8.09","8.94","44.50","1.03","7.77","1.11","0.51","6.35","0.77","0.21","0.33","17.4","607","64","RU"
"sol86","Mazatzal_Brooklyn_RAT2","2.80","9.72","10.70","45.80","0.65","1.48","0.23","0.16","8.02","0.59","0.54","0.42","18.9","132","161","RR"
"sol100","Route66_brushed","2.90","8.67","10.78","44.80","0.74","4.20","0.55","0.23","7.83","0.59","0.53","0.39","17.7","181","46","RB"
"sol105","Bitterrootflats_flats1","3.00","8.43","9.68","46.30","0.79","6.67","0.72","0.44","6.45","0.89","0.32","0.34","15.8","237","11","SU"
"sol113","Bighole_Mayfly_surface","3.10","8.39","9.92","46.10","0.88","6.37","0.79","0.47","6.07","1.00","0.37","0.31","16.1","467","32","SU"
"sol114","Bighole_RS2","2.50","9.19","9.06","43.70","0.80","9.13","1.00","0.35","5.74","0.87","0.36","0.34","16.8","466","64","ST"
"sol115","Bighole_Trico","2.50","9.04","9.08","44.20","0.74","8.37","1.00","0.34","5.86","0.89","0.43","0.34","17.1","466","47","ST"
"sol122","Owens_soil_Track","3.10","8.41","10.65","47.00","0.95","5.45","0.63","0.47","6.38","0.88","0.33","0.28","15.4","391","31","SD"
"sol126","Accelerator_Soil","3.10","8.15","10.02","46.30","0.83","6.40","0.77","0.45","6.50","0.96","0.29","0.32","15.9","641","0","SU"
"sol135","Santa_Anita_trench_surface","3.00","8.73","10.71","47.00","0.77","4.67","0.54","0.42","6.27","0.89","0.42","0.34","16.1","483","19","SD"
"sol140","Boroughs_Mills_bottom","2.40","9.82","8.47","41.40","0.71","11.20","0.68","0.35","5.77","0.90","0.39","0.36","17.5","507","162","ST"
"sol141","Boroughs_Hellskitchen_side","2.50","10.48","7.85","39.20","0.80","14.10","0.73","0.36","5.76","0.85","0.39","0.34","16.5","438","205","ST"
"sol150a","Mojave_Joshua_Asis","3.10","9.38","10.36","44.80","0.53","3.47","0.57","0.20","7.39","0.57","0.53","0.37","18.7","97","89","RU"
"sol158","Shredded_dark4_soil","3.30","8.73","11.29","47.80","0.75","4.10","0.52","0.45","6.31","0.67","0.36","0.33","15.3","536","36","SD"
"sol164","Goldklumpen_Asis","3.10","8.89","10.32","45.00","1.12","8.36","0.83","0.31","5.26","0.72","0.21","0.20","15.6","737","73","RU"
"sol167","Goldfinger_Jaws_soil","3.30","9.84","10.08","46.30","0.80","5.26","0.62","0.41","5.90","0.73","0.27","0.32","16.0","854","36","SU"
"sol170","Fools_gold_Asis","2.60","9.37","10.86","44.20","1.14","9.71","0.68","0.18","5.13","0.60","0.19","0.17","15.1","777","73","RU"
"sol172","Pot_of_Gold_RAT","3.00","9.91","10.32","42.90","1.08","7.96","0.57","0.20","5.86","0.77","0.27","0.24","16.7","894","77","RR"
"sol176","Breadbox_Sourdough","3.00","8.56","10.17","46.00","1.06","7.12","0.76","0.40","6.04","0.85","0.31","0.28","15.3","704","34","RU"
"sol178","String_of_pearls_Perlx","2.90","8.95","9.89","43.40","1.09","8.34","0.67","0.34","6.37","0.76","0.23","0.29","16.6","533","69","RU"
"sol195","WoolyPatch_Sabre_asis","3.40","8.54","9.68","44.80","0.96","7.33","1.08","0.40","5.62","0.89","0.24","0.20","16.7","516","185","RU"
"sol197","WoolyPatch_Sabre_RAT","3.30","10.92","12.60","46.80","1.24","2.87","0.78","0.07","3.64","0.94","0.27","0.10","16.3","607","318","RR"
"sol199","Woolypatch_Mastodon_ RAT","2.90","11.62","10.34","46.40","1.20","2.41","1.03","0.04","3.44","0.91","0.18","0.13","19.2","553","493","RR"
"sol214","Clovis_Plano_asis","3.50","8.80","9.66","44.90","1.02","7.77","1.23","0.42","6.15","0.85","0.19","0.27","15.0","562","908","RU"
"sol216","Clovis_Plano_Brush","3.60","10.79","9.34","43.40","1.13","7.98","1.88","0.35","5.86","0.75","0.18","0.27","14.3","538","901","RB"
"sol218","Clovis_Plano_RAT","3.60","11.52","8.95","42.20","1.05","7.53","1.63","0.35","6.04","0.84","0.17","0.30","15.6","735","239","RR"
"sol225","Clovis_BrushMosaic","3.00","11.46","8.85","42.60","0.81","9.29","1.74","0.45","5.39","0.84","0.18","0.23","14.9","670","993","RB"
"sol227","Kilmary_soil","2.80","8.42","9.59","45.70","0.87","7.50","0.94","0.49","5.88","0.84","0.28","0.31","16.3","533","263","SU"
"sol228","Ebenezer_TinyTim","2.90","11.16","10.71","47.40","0.94","4.67","1.33","0.36","4.24","0.79","0.14","0.21","15.1","453","193","RU"
"sol229","Ebenezer_Cratchit_asis","3.20","10.89","10.40","46.80","1.00","5.18","1.32","0.35","4.31","0.78","0.17","0.17","15.3","478","267","RU"
"sol231","Ebenezer_brushed","2.60","13.57","9.93","47.50","0.97","3.81","1.54","0.32","3.63","0.76","0.16","0.15","15.0","497","293","RB"
"sol232","Ebenezer_RAT","2.30","14.82","9.28","47.40","0.97","3.20","1.46","0.33","3.44","0.79","0.16","0.16","15.6","523","222","RR"
"sol235","Ebenezer_Fritz_RATgrind.","3.00","13.49","10.18","45.30","0.94","3.01","1.38","0.30","3.93","0.90","0.18","0.18","17.1","731","352","RF"
"sol240","Greeneyes_soilTG","2.90","8.39","9.85","45.80","0.95","7.44","0.85","0.44","6.17","0.82","0.21","0.29","15.8","548","9","SU"
"sol259","Disturbance_soil","3.20","8.42","10.13","46.40","0.90","6.65","0.76","0.46","6.22","0.84","0.29","0.30","15.3","467","24","SD"
"sol266","Temples_dwarf_asis","3.30","9.06","9.47","45.30","0.98","7.37","1.33","0.41","5.75","0.85","0.19","0.35","15.4","568","1543","RU"
"sol274","Tetl_clumb_asis","3.30","9.49","10.10","46.40","0.91","6.52","1.42","0.43","5.18","0.86","0.20","0.28","14.7","558","694","RU"
"sol280","Coffee_disturbed_soil","3.20","8.94","9.80","45.00","1.02","6.48","0.87","0.42","6.36","0.88","0.34","0.34","16.2","469","101","SD"
"sol284","Uchban_Koolik_asis","3.20","9.14","9.74","45.10","0.98","7.38","1.32","0.43","5.90","0.86","0.19","0.30","15.2","564","735","RU"
"sol287","Uchben_Koolik_RAT","2.40","14.28","9.52","45.60","0.94","5.26","1.85","0.35","4.48","0.80","0.15","0.25","13.9","593","674","RR"
"sol291","Uchben_Chiikbes_brush","2.80","12.14","9.96","45.40","1.04","5.92","2.62","0.40","4.39","0.80","0.16","0.23","13.9","547","903","RB"
"sol300","Lutefisk_flatfish_Brushed","2.60","14.34","10.29","46.00","0.95","3.44","2.02","0.29","4.59","0.80","0.16","0.17","14.2","629","581","RB"
"sol304","Lutefisk_RATRoe_brushed","2.50","15.12","10.17","45.50","1.04","3.05","2.47","0.24","4.62","0.78","0.16","0.18","14.1","605","339","RB"
"sol315","Tofurkey_disturbedsoil","3.40","8.68","10.31","46.90","0.88","5.82","0.68","0.43","6.24","0.84","0.31","0.32","15.1","412","13","SD"
"sol334","Wishstone_chisel_brush","5.10","4.94","15.64","46.30","2.63","3.47","0.59","0.54","6.86","2.16","0.01","0.22","11.5","99","14","RB"
"sol335","Wishstone_chisel_RAT","5.00","4.50","15.03","43.80","5.19","2.20","0.35","0.57","8.89","2.59","0.00","0.22","11.6","67","22","RR"
"sol342","Penny_dist_soil","3.50","9.42","10.63","46.70","0.84","4.80","0.57","0.40","6.20","0.70","0.33","0.31","15.5","679","37","SD"
"sol349","dreaming_asis","4.50","5.64","14.68","47.00","1.74","4.10","0.71","0.56","6.62","1.86","0.03","0.25","12.2","57","58","RU"
"sol353","champagne_asis","4.20","6.15","13.48","46.40","1.79","4.40","0.72","0.53","6.67","1.97","0.04","0.25","13.3","86","54","RU"
"sol355","champagne_brush","5.30","4.56","15.75","45.80","2.64","2.50","0.62","0.51","6.59","2.84","0.00","0.22","12.6","41","38","RB"
"sol356","champagne_RAT1","5.00","3.94","14.86","43.40","5.07","1.94","0.60","0.53","8.78","2.99","0.00","0.24","12.5","24","72","RR1"
"sol357","champagne_RAT2","5.00","3.98","14.83","43.50","5.05","1.96","0.60","0.53","8.75","2.96","0.00","0.25","12.5","45","68","RR2"
"sol374","Peace_brushed","2.30","14.20","6.29","41.60","0.99","7.86","0.92","0.16","4.85","0.71","0.57","0.41","19.1","603","160","RB"
"sol377","Peace_RAT1","0.40","19.75","2.80","37.10","0.59","12.90","0.89","0.01","5.44","0.41","0.59","0.42","18.7","540","181","RR1"
"sol380","Peace_RAT2","0.00","21.53","2.24","37.30","0.49","10.60","0.72","0.00","4.90","0.45","0.75","0.47","20.4","774","71","RR2"
"sol380b","Alligator_APXSspot_TG","3.30","11.24","7.78","42.70","0.75","7.81","1.33","0.27","4.83","0.57","0.54","0.40","18.4","498","237","RU"
"sol381","Alligator_APXSspot_long","3.00","10.90","7.81","42.50","0.86","7.71","1.37","0.27","4.98","0.68","0.57","0.40","18.8","565","244","RU"
"sol385b","Alligator_scale_brushed","1.60","16.27","5.49","41.80","0.29","8.48","1.26","0.19","4.72","0.53","0.63","0.33","18.3","506","217","RB"
"sol401","PasoRobles_disturbed soil","1.60","5.53","4.13","21.80","5.61","31.70","0.55","0.19","6.84","0.62","0.04","0.25","21.0","109","494","SD"
"sol416","Watchtower_Joker_Brush","2.80","10.10","12.22","44.10","2.72","4.70","1.14","0.76","6.06","1.89","0.00","0.22","13.3","58","262","RB"
"sol417","Watchtower_Joker_RAT","2.70","10.00","12.33","42.40","4.50","3.43","0.80","0.74","7.44","2.21","0.00","0.22","13.2","67","251","RR"
"sol427","Paso_light","1.40","5.19","6.27","24.90","4.69","31.60","0.73","0.40","6.94","0.88","0.35","0.30","16.1","561","478","SD"
"sol428","Paso_dark","3.20","8.74","10.44","46.10","0.96","5.68","0.55","0.39","6.25","0.89","0.38","0.33","15.9","414","52","SD"
"sol429b","BensClod_brushed","3.30","5.11","15.12","49.80","4.66","5.02","0.85","0.65","7.62","1.40","0.47","0.16","5.6","592","65","RB"
"sol430","Paso_DarkLight","3.00","8.64","9.72","43.20","1.38","7.73","0.58","0.38","6.39","0.99","0.37","0.34","17.2","395","69","SD"
"sol457","Crumble","3.40","8.73","11.83","47.10","1.39","4.02","0.60","0.41","6.53","1.02","0.23","0.30","14.4","424","52","SU"
"sol469","Methuselah_Keystone","3.30","8.38","12.44","47.00","1.23","4.95","0.92","0.51","5.75","2.21","0.11","0.31","12.8","155","232","RU"
"sol470","Methuselah_Haunch","3.40","8.48","13.61","46.90","2.41","4.15","1.23","0.56","6.36","1.96","0.05","0.27","10.5","92","204","RB"
